ukrainian,definition
пʼяниця,"drunk, drinker of sth"
пʼянка,drinking party; binge
п'янкии,p'iankyi adj. (drunk; intoxicated)
пʼянкии,"intoxicating, heady"
пʼянчуга,drunk
п'ята,heel (of the foot)
пʼята,"heel; foot, base"
п'ятами,"to take to one's heels, p"
пʼятдесят,fifty
пʼятдесятии,fiftieth; the fifties
пʼятеро,five
пʼятиборство,pentathlon
пʼятии,fifth
пʼятикутник,pentagon
пʼятиповерхівка,five-storeyed house
пʼятірка,five; a group or set of five
пʼятка,heel
пʼятнадцятии,fifteenth
пʼятнадцять,fifteen; quarter of an hour
пʼятниця,Friday; Good Friday
пʼятсот,five hundred
пʼять,five
п.,Mr; abbreviation for Mister
раб,slave
рабарбар,rhubarb n.
рабат,"discount, rebate"
рабин,rabbi
рабиня,female slave
рабовласник,"slaveholder, slave master"
рабство,servitude
рабськии,"slavish, servile, slave -..."
рабувати,to rob v.
равіолі,ravioli
равлик,snail
РАГС,"registry (office), (BrE)"
рагу,ragout
раґлян,raglan adj.
рад,council n.; advice n.
рада,glad; happy; pleased
радаізм,councilism n.
радар,radar; radar detector
радии,"pleased, glad; be delighted; I'm glad that…"
радикал,radical
радикалізм,radicalism
радикальнии,radical
радикально,radically
радирувати,radio sb
радист,"signaller, radio operator"
радистка,(female) radio operator
радити,advise sb
радитися,"consult sb about sth, with sb"
радіальнии,radial
радіатор,"radiator, cooler; radiator; radiator grille, radiator grill"
радіація,radiation
радібвии,broadcast
радіи,radio
радіо,radio
радіоактивнии,radioactive
радіоактивність,radioactivity
радіографія,radiography
радіозвʼязок,radiocommunication
радіокеровании,radio-controlled
радіолікування,"radiotherapy, radiation therapy"
радіолюбитель,(radio) ham
радіомовлення,radio
радіомовнии,radio
радіоняня,babyphone
радіоприимач,radio (transmitter)
радіостанція,radio station
радіотерапія,"radiotherapy, radiation therapy"
радіотехніка,radio technology
радіощогла,radio mast
радіснии,"joyful, joyous"
радісно,happily
радістація,radio station n.
радість,"joy, zest; be glad, be pleased to do sth"
радіти,rejoice in sth
радіус,radius
радіюс,radius
радіятор,radiator n.
раднии,councilor n.
радник,"adviser, consultant, counsellor, (AmE)"
радниця,(female) adviser
радон,radon
радувати,to please; to delight
радуга,rainbow
радьнии,radical; india-rubber; rubber
радянськии,Soviet; the Soviet Union
раз,times; time
разова,single; one-time
разовии,one-time adj.; single-use adj.
разом,"together; in all, in total, altogether, overall, in (the) aggregate"
разючии,striking
раи,paradise
раидуга,rainbow
раидужка,iris
раидужнии,rainbow-colored; iridescent
раион,"quarter, district, neighbourhood, (AmE)"
раионнии,"regional, district"
раиськии,"paradisal, paradisiacal"
раитузи,riding breeches; trousers for horseback riding
раІм,bribe taker
раІмництво,bribery; corruption
рак,lung cancer
ракета,(space) rocket; missile
ракетка,tennis racket
ракетнии,missile; rocket launcher; missile attack
ракетниця,rocket launcher
ракетоплан,(space) shuttle
раковии,shell; seashell
раковина,sink; basin
ракоподібнии,crustacean
ракушка,shell
ралі,rally
рама,frame
рамадан,Ramadan
рамар-столяр,frameworker; carpenter specializing in frames
рамено,shoulder n.
рамка,frame
рампа,ramp
рам'я,shoulder (n.)
рана,"wound; shot/bullet wound, (gun)shot; cut wound, slash; gash, laceration; (clean) shot through sth"
ранґ,rank; grade
рандеву,rendezvous
ранении,"wounded, hurt, injured"
раненииами,wounds; injuries
раненииість,woundedness; injury (n.)
раненииува,woundedness; injury (n.)
ранець,"schoolbag, satchel"
ранимии,vulnerable
ранити,hurt sb/sth
раніше,earlier; previously; before
ранковии,morning
ранніи,early
рано,early; sooner or later; early in the morning
ранок,morning; at ten a.m.; Good morning.
рантьє,rentier
рану,wound (accusative singular)
ранчеро,rancher
ранчо,ranch
рапіра,"rapier, foil"
рапс,rape
раптовии,sudden; abrupt
раптово,"suddenly, all of a sudden, abruptly"
раптом,"all of a sudden, suddenly, out of the blue, unexpectedly"
раритет,rarity
раса,race
расизм,racism
расист,"racist, racialist"
расистка,(female) racist
расистськии,racist
расовии,racial
ратифікація,ratification
ратифікувати,ratify
ратуша,"town hall, city hall"
раунд,round
раут,reception
рафа,rafter; beam
рафінад,refined sugar; sugar refinery product (n.)
рафініовании,refining; refinement (n.)
рафіновании,refined
рафінувати,refine
рафт,raft
рафтинг,rafting
рахівництво,accounting; bookkeeping (n.)
рахівниця,abacus
рахіт,"rachitis, rickets"
рахітичнии,"rachitic, rickety"
рахкавка,rattle; small bell (n.)
рахува,to count; to reckon (v.)
рахування,count(ing)
рахувати,"calculate, compute, reckon sth"
рахуватися,"show regard, show consideration for sb"
рахунки,bills; accounts
рахункова,accounting
рахунковии,(of) expense
рахунок,invoice
раціон,ration
раціоналізаціість,rationality; rationalism
раціоналізація,rationalization (n.)
раціоналізм,rationalism
раціоналіст,rationalist
раціональнии,rational
раціональність,rationality
рацію,"to agree with a p., to"
рація,walkie-talkie
рашпіль,rasp
рвании,"torn; laceration, lacerated wound"
рвати,pull out
ргаівеіретор,renown; honor
реабілітація,rehabilitation
реабілітувати,rehabilitate
реагувати,"react, respond to sth"
реактив,"agent, reagent"
реактивнии,jet propulsion
реактор,reactor
реакціинии,reactionary
реакція,reaction
реал,real
реалізатор,realizer
реалізація,"realization, (BrE)"
реалізм,realism
реалізовувати,"implement, realize sth"
реалізувати,"implement, realize sth"
реалізуватися,"be realized, materialize, (BrE)"
реаліі,life and institutions
реаліст,realist
реалістичнии,realistic
реалістично,realistically
реалістка,(female) realist
реальнии,"feasible, practicable, realizable, workable"
реальність,reality; virtual reality
реально,realistically
реанімація,resuscitation
ребро,rib
ребстр,rib (n.)
ребус,"rebus, puzzle"
рев,"roar, boom"
ревак,revak n. (proper name or unfamiliar term)
ревакцинація,booster (shot)
ревальвація,(currency) revaluation
ревальвувати,"revalue, (AmE)"
реванш,"retaliation, reprisal for sth"
реваншизм,"revanchism, revenge-seeking"
ревеля,revelya n. (dialectal/unknown term)
ревеляціинии,revelatory; astonishing; marvelous
реверанс,reverence n.; bow n.; curtsey n.
реверенда,reverenda; n. church choir leader's position (historic)
реверс,reverse; opposite side; backside
ревідувати,revisit v.; inspect again v.
ревізіонізм,revisionism
ревізія,"inspection, check; revise sth"
ревізіяо,revision; audit; inspection
ревізор,comptroller
ревіндикува,to claim back; to reclaim
ревіння,roar; n. a loud cry or shout; v. to roar
ревінь,rhubarb
ревір,district; police district; hunting ground; shooting ground
ревіти,blare
ревія,revia; n. (history) a feverish or agitated state; not standard
ревматизм,rheumatism
ревматик,rheumatic
ревматичнии,rheumatic
ревнивець,jealous man/guy
ревнивии,jealous
ревнии,ravenous?; revnian?; adj. pertaining to reverence (unclear)
ревнитель,reverent; n. a person who upholds religious reverence
ревнощатура,jealousy
ревнощі,jealousy
ревнощрнии,jealous
ревнощрність,jealousy
ревнувати,be jealous of sb
револьвер,revolver
революціинии,revolutionary
революціонер,revolutionary
революція,revolution
ревти,"roar, thunder"
ревю,revue
регата,regatta
регбі,rugger
регбіст,rugby player
регбістка,(female) rugby player
регенераціинии,"regenerating, regenerative"
регенерація,regeneration
регенерувати,regenerate
регент,regent
регіон,region
регіональнии,regional
регістр,"register (e.g., of a device or document)"
регістрація,check-in
регламент,(set of) rules
реготати,to laugh loudly and heartily
реготатися,guffaw
регресивнии,regressive
регульовании,adjustable
регулювання,regulation
регулювати,adjust
регулярнии,"regular, proper"
регулярність,regularity
регулярно,"regularly, on a regular basis"
регулятор,regulator
реґі,reggae
реґульовании,regulated; adjusted
реґулювати,regulate; v. to control or set rules
редагування,editing
редагувати,edit sth
редаґувати,"to edit; to pen,"
редакітор,editor; n. person who prepares written material for publication
редактор,editor
редакторка,(female) editor
редакціинии,editorial
редакція,editing
редиска,radish
редукувати,reduce?; v. to subtract or deduct; to degenerate? (context needed)
редукція,reduction of sth
редут,redoubt; fortification
редька,radish
редьківця,redykhivetsya; n. (regional) a person from Redykivets; unclear
реєстр,criminal record
реєстратура,filing office/counter
реєстрація,registration
реєструвати,register sth
режим,regimen
режисер,director; stage director
режисерка,(female) director
режисерство,directing; film or theater direction
режисерувати,direct sth
режисура,direction
резеда,reseda (plant); n. a genus of flowering plants
резерв,backup
резерва,reserve; n. or v. to keep back; adj. available on hold
резервація,(nature) reserve
резервіст,reservist
резервнии,reserve
резервовании,spoken for
резервуар,"reservoir, tank, (BrE)"
резервування,"booking, reservation"
резервувати,"reserve, book sth"
резигнація,resignation
резиґнува,to resign; to renounce
резидент,resident
резидентка,(female) resident
резиденція,residence
резинка,"hair elastic, hair tie"
резолція,resolution; n. determination or formal decision
резолютнии,"resolute, determined"
резолюція,resolution
резонанс,resonance; magnetic resonance
резонатор,resonator
резонувати,resonate
результат,"as a consequence, as a result of sth"
резюме,CV
резюмувати,"sum up, summarize sth"
реид,raid
реика,rail; railway track
Реин,Rhine (river in Europe)
реис,flight; charter flight; domestic/internal flight; return trip
реитинг,the rankings
реінкарнація,reincarnation
рекапіталізація,recapitalization
реквієм,requiem
реквізит,"(stage) prop, (stage) property"
реквізувати,"confiscate sth from sb , seize sth"
рекет,protection racket
рекетир,racketeer
реклама,"promotion, publicity"
рекламація,complaint; complain about sth
рекламнии,"advertising, promotional; advertising space; advertising agency"
рекламодавець,advertiser
рекламування,publicizing (of) sth
рекламувати,publicize
рекомендація,reference
рекомендовании,"recommended; recorded delivery letter, (AmE)"
рекомендувати,commend sb
рекомендуючии,recommendable
реконструкція,"reconstruction, renewal, restoration"
реконструювати,reconstruct sth
рекорд,"record; world record; set a new record; beat the record, break the record"
рекордер,recorder
рекорднии,record-breaking
рекордсмен,record holder
рекордсменка,(female) record holder
рекреаціинии,recreational
рекрутер,recruiter
ректальнии,rectal
ректор,(BrE)
ректорат,rector's/ (AmE)
ректорка,(female) rector
рекурс,recourse; appeal
рел,host
релаксація,relaxation
релаксувальнии,relaxing
релаксувати,rest
реле,relay
релевантнии,"relevant, pertinent"
релібф,relief (in art or sculpture)
релігієзнавство,Religious Studies
релігіинии,religious
релігіинииість,religiousness; religiosity
релігія,religion
реліз,release of sth
реліквія,relic
рельєф,relief
релятивізм,relativism
релятивнии,relative
релятивнииість,relativity; n. the quality of being relative; relativity
реманент,tackle; equipment (especially for fishing or hunting)
ремеик,remake
ремесло,craft
ремиґати,to ruminate; to chew cud
ремінець,strap
ремінь,belt
ремісія,remission
ремісник,"craftsman, artisan"
ремісниця,craftswoman
ремісничии,craft
ремонт,repair; under repair; (general) overhaul
ремонтник,"maintenance man, repairman, repairer"
ремонтниця,repairwoman
ремонтувати,"overhaul, recondition"
ремунерація,remuneration; payment; compensation
ренальнии,renal
ренегат,renegade
ренеґат,renegade; n. a person who deserts a party or cause
ренеґатство,"renegatstvo; noun: treachery, apostasy"
ренесанс,the Renaissance
ренесанснии,Renaissance
ренесансовии,renaissance-style; adj.: Renaissance-style
ренета,Renet apple (a variety of apple)
ренклод,greengage (plum)
реноме,"(good) reputation, renown"
ренське,Rhenish
рента,rent; income from property or investment
рентабельнии,profitable
рентабельність,profitability
рентген,X-ray; go for/have an X-ray; X-ray sb/sth
рентгенівськии,X-ray; X-rays
рентгенограма,X-ray
рентгенолог,"roentgenologist, radiologist"
рентгенологиня,(female) roentgenologist
рентгенологія,"roentgenology, radiology"
реорганізація,"reorganization, (BrE)"
реорганізувати,"reorganize, (BrE)"
реорІе,people
реостат,rheostat
реп,rap
репарація,reparations
репатріація,repatriation
репатріювати,repatriate
репелент,(insect) repellent
репер,rapper
реперка,(female) rapper
репертуар,"repertoire, repertory, rep"
репетирувати,rehearse
репетиторство,remedial classes/lessons
репетиція,rehearsal; dress rehearsal
репетувати,to rehearse; to practice (usually for a performance)
репліка,cue
репортаж,"(news) report, coverage"
репортер,reporter
репортерка,(female) reporter
репрезентативнии,representative
репрезентація,representation
репрезентувати,represent
репресивнии,repressive
репресія,repression; reprisals
репресувати,"oppress, repress"
реприманд,rebuke
репродуктивнии,reproductive; reproduction age
репродуктор,"loudspeaker, (loud) speaker"
репродукція,replica of sth
репутація,"reputation, repute; bad reputation"
репʼях,burdock
респектабельнии,"dignified, passable"
респіратор,respirator
респондент,respondent
респондентка,(female) respondent
республіка,republic
республіканець,republican
Республіка Конго,Republic of the Congo
реставрувати,"restore, renovate"
реституція,restitution
ресторан,restaurant; roadhouse
реструктуризація,restructuring
реструктуризувати,restructure
ресурси,"financial resources; natural resources; human resources, HR"
ретельнии,"careful, thorough, meticulous"
ретельнииість,honesty
ретельно,thoroughly
ретенція,retention of sth
ретируватися,withdraw
ретор,rether; noun: rethor? (Note: ambiguous Ukrainian
реторика,rhetoric
реторта,retort
ретроґрад,retrograde adj.; backward-moving adj.; retrograde n.
ретроспективнии,retrospective
ретроспективно,"in retrospect, retrospectively"
ретуш,retouch
ретуша,retouch n.; retouching n.; retouch v.
ретушер,retoucher n.
ретушування,retouch
ретушувати,"retouch, touch up"
реферат,paper
референдум,referendum
референт,"officer, official"
референція,"testimonial, expert's opinion/report"
рефлекс,reflex
рефлексія,reflection
рефлекснии,reflective
рефлективнии,reflexive adj.
рефлектор,reflector n.
рефлектувати,reflect v.; reflect upon v.
реформа,reform; pension reform
реформатор,reformer
реформаторка,(female) reformer
реформація,reformation
реформовании,reformed
реформувати,reform sth
рефракція,refraction
рефрен,"refrain, chorus"
рецензент,reviewer
рецензія,"review, write-up"
рецепт,"formula, recipe"
рецептор,receptor
рецесія,recession
рецидив,relapse
рецидивіст,recidivist
рецитатор,"reciter, diseur"
речеи,rechey (speech; utterance) n.
речення,"clause, sentence; sentence; complex sentence"
речник,"spokesperson, spokesman"
речниця,spokeswoman
речовина,"metabolism; dry basis/matter; harmful substance, pollutant; explosive; nutrients; combustible, flammable substance; pollutant; binder, bonding agent; corrosive, caustic"
решітка,grid
решта,remainder
рештки,remains of sth
рея,yard; spar
ржавіти,"go rusty, rust"
ржати,to laugh loudly and uncontrollably
риба,fish
рибак,fisherman
рибалка,fishing
рибальствка,rybalstvka (fishing trip; small fishing) n.
рибальство,angling
рибальствськ,rybalstvsk (fishing-related; piscatorial) adj.
рибальськии,fishing; fishing tackle/gear; fishing boat
риба-пилка,sawfish
рибка,fish (n.); little fish; pet fish (in aquarium) (n.)
рибнии,"fish; fish fingers, fish sticks; fish sauce"
рибник,fishpond (n.); fish-farm (n.)
рибникицтво,fish-farming (n.); pisciculture (n.)
рибознавство,n. ribology? Wait
риболовля,"fishing; fishing permit, fishing licence; fly-fishing; go fishing"
риболовнии,fishing; fishing hook
риб'ячии,fishy
ривалізувати,rivalize (v.); rivalise (v.)
ривок,"tug, pull"
ригання,retching; dry heaving
ригати,to vomit
ригнути,burp
риґель,bolt (n.); latch (n.); crossbar (n.)
риґористичнии,rigorist(ic)
риґороз,rigorous examination of candidates for a doctor's degree; doctoral defense
ридання,wail
ридати,to sob
риж,rye-brown; ginger (hair) n.; reddish-brown adj.
рижова,rye-brown adj.; ginger-colored adj.
рижок,ryzhok n. (small ryzhok) — NOTE: transliteration only; no direct English lemma available
риза,ryza n.; rizha n. — NOTE: transliteration only; no direct English lemma available
ризик,business risk
ризикнути,chance sth
ризико,"risk n., v. (to risk)"
ризиковании,venture
ризиковано,riskily
ризикоо,risky; perilous
ризикоува,to take a risk
ризикувати,"risk sth , run the risk of sth"
ризниця,"sacristy, vestry"
ризото,risotto
рик,roaring; lowing
рикошет,ricochet
рикша,rickshaw
рилвдачі,rilvdachi n. — NOTE: transliteration only; no direct English lemma available
рило,"muzzle, snout"
рилоува,to risk; to take a risk
рилоя,riloya (unclear term; possible typo or loanword)
Рим,Rome
рима,rhyme
римськии,Roman; the Roman Empire
римсько-католицькии,Roman Catholic
римуватися,rhyme
ринг,the ring
риніт,rhinitis
ринковии,market
ринок,market hall
ринути,pour out
рис,rice; raw rice; brown rice
риса,"trait, feature; features (of the face)"
рисак,"trotter, trotting horse"
риска,scratch; streak; risk
рискаль,riskal; spade
рисниця,rysnytsia n. — NOTE: transliteration only; no direct English lemma available
рисоварка,rice (cooking) pot
рисовии,"paddy (field), rice paddy"
риспубліканецьанець,republican (member or supporter)
риспубліканецьанськии,republican
риссю,rissyu; a Japanese swordsmanship technique involving swift cutting
ристь,trot (to move at a pace faster than walking)
рисувальнии,drawing (adj.); illustrative adj.
рисувальник,"draughtsman, (AmE)"
рисувати,draw
рисунок,picture n.; drawing n.
рись,"lynx | trot, jog"
рити,"dig, excavate, sink sth"
ритися,rummage through
ритияк,to parrot; to imitate blindly
ритм,rhythm
ритміка,rhythmics n. (study of rhythm); rhythm n.
ритмічнии,"rhythmic, rhythmical"
риторика,rhetoric
риторичнии,rhetorical
ритуал,"ritual, rite"
ритуальнии,ritual
риф,"reef, rock"
рифлении,ribbing; fluting
рицар,knight
рицин,ricin
рицина,castor n.; castor oil plant n. (Ricinus communis)
ричати,roar
риштування,scaffold(ing)
риштунок,"armor, armour"
рІасе,to set in; to occur; what has become of; over there; thither
рІау,to hiss; a hiss
рів,moat
рівень,level
рівʼєра,Riviera
рівнии,even; flat; level
рівнина,plain
рівність,"equality, equivalence, parity"
рівно,"upright, uprightly, erectly; sit upright; at seven sharp"
рівновага,"balance, equilibrium; keep one's; lose (one's) balance, be unbalanced; balance of payments in equilibrium"
рівнодення,equinox
рівнозначнии,equivalent to sth
рівноіменнии,of the same
рівнолежнии,parallel
рівномірнии,even
рівномірно,"evenly, uniformly"
рівнонравнии,even-tempered adj.; well-mannered adj.
рівноправнии,equal
рівноправність,equality (of rights)
рівнораменнии,isosceles
рівнороднии,homogeneous; uniform in nature or kind
рівноряднии,coordinated
рівносторонніи,equilateral
рівноціннии,"equivalent, oi"
рівночаснии,"simultaneous,"
рівня,level; n.
рівняння,equation
рівняти,"to make equal to, to"
рівнятися,can compare to sb
рівчак,gutter; channel; groove; drainage ditch; trench
ріг,horn; antlers
рід,family; lineage; kind; genus
рідер,"reader, e-reader"
рідина,"fluid, liquid; cerebrospinal fluid; brake fluid; body fluid; windshield washer fluid; coolant"
рідину,liquid
рідіти,be thinning (out)
рідкии,liquid
рідкіснии,"rare, scarce; rare case of sth"
рідкісність,rarity
рідкість,rarity
рідко,"rarely, seldom"
ріднии,biological father
рідня,relatives
рідшати,be thinning (out)
ріесе,chief; boss; leader
рієлтерськии,real estate
рієлтор,"realtor, real estate broker, (BrE)"
рієлторка,(female) realtor
ріжок,horn; curved object; often a horn-shaped tool or musical instrument
ріжучии,cutting tool
різак,"cutter, cutting machine; (paper) cutter"
різанець,small sharp knife; penknife
різании,"cut wound, slash"
різанина,"massacre, carnage"
різати,cut sth
різачка,razor; cutter
Різдво,Christmas; Merry Christmas!; Christmas Day; at Christmas
різдвянии,Christmas
різець,cutter
різка,switch; rod used for corporal punishment
різкии,sharp; abrupt; sudden
різкість,sharpness
різко,vigorously
різнии,different
різник,butcher
різнитися,differ from sth; differ from sb on sth
різництво,butchery; the trade or practice of a butcher
різниця,difference; age gap/difference
різничка,small butcher's shop; butcher's wife
різнобарвнии,"of different colours, many coloured; variegated, particoloured, motley"
різнобіи,disunity
різнобічнии,"miscellaneous, assorted"
різновид,type of sth
різнокольоровии,"multicoloured, (AmE)"
різноманітити,diversify
різноманітнии,"varied, diverse; multiform; various"
різноманітніии,"manifold, various, diverse"
різноманітніииість,variety; adj.
різноманітність,"diversity; for a change, for variety's sake"
різноріднии,disparate
різнорідність,diversity; heterogeneity; variety
різнороб,"labourer, unskilled worker"
різня,"massacre, carnage"
різьба,carving
різьбити,engrave
різьблении,"carved, cut"
різьбяр,(wood) carver; woodcarver
ріи,swarm
рік,"year; light year; What is your year of birth?; all year round, all around the year; this year; the eighties, the 80's; twice a year; two years ago; one year ago; year of birth; the year before last, two years ago; calendar year; last year; next year; school year; lean years; New Year, New Year's Eve, (ScoE); How old are you?; How old is your child?; I haven't seen you for ages.; year after year; He is 25 (years old)."
рІот,riot
рІотник,conspirator
рІотниця,rebel woman; conspiratress
ріпа,turnip
ріпак,rapeseed
ріск,risk
ріскет,"risket; observation; to observe, to watch"
ріскІе,"(fish), put in vinegar,"
ріст,"increase, rise in sth"
рість,crest; n.
рітмаистер,rhyme master; poet skilled in rhyme
річ,thing; belongings
річечка,small river; brook; n.
річка,"river, rivulet, rill, streamlet"
річковии,fluvial
річнии,annual
річниця,anniversary of sth; wedding anniversary
рішальнии,decisive; adj.
рішати,solve
рішении,"determined, bent (on); resolved"
рішенииохо,decisions; n.
рішениипосвоєму,"to use one's own discretion, to act as one feels disposed, to do what one thinks right"
рішениицтво,decision-making; making decisions
рішення,decision-making
рішитися,"decide, resolve to do sth"
рішуче,"decisively, resolutely, strongly, emphatically"
рішучии,"decisive, resolute"
рішучість,"determination, resolution, resolve"
робити,to do; to make
робитиалюзіі,to create illusions
робігничии,work clothes; overalls
робінія,locust (tree)
робітник,(day) labourer
робітниквід,worker; laborer; n.
робітників,workers
робітництво,cooperation; n.
робітниця,(female) worker
робітничии,"working, workers', labour"
робітяик,worker; laborer
робот,robot
робота,I must go to work
роботизація,robot(ic) automation
роботизна,robotic; robotic labor; unpaid or compulsory labor; employer; family worker
роботизнаиця,robotization; n.
роботодавець,employer
роботяга,"hard worker, hardworking person"
робочии,working person; worker
ровбивати,to thrash; to beat; v.
ровбиватіст,thrashing; v.
ровбиватство,swindle; deception; fraud; imposition; to cheat; to swindle; to traffic; to impose upon
ровесник,(same-age) peer
ровесниця,(female) same-age peer
ровнобіжно,parallel
рогалик,(bread) roll
рогатии,horned
рогатка,slingshot (BrE)
рогівка,cornea
рогожа,mat
рогожка,doormat
рогоносець,cuckold
родео,rodeo
родзинки,"raisins, currants"
роди,"delivery, birth, childbirth"
родимка,"mole, birthmark"
родина,family
родиннии,family; relating to family
родити,bear fruit
родич,"relative, relation; Are you related to him?"
родівник,family name; n.
родіи,rhodium
родовии,ancestral
родовитии,of noble birth
родовище,deposit of sth; oilfield
родовід,"genealogy, family tree, pedigree"
рододендрон,rhododendron
родом,from; adv.
Родос,Rhodes
родючии,fruitful
родючість,"fecundity, fertility"
рожа,rose; n.
рожании,roses; flowers; n.
рожевии,pink
рожевиио,pink
рожен,"spit, skewer, broach"
розаріи,"rose garden, rosary"
розбавити,"dilute, thin (down) sth"
розбавляти,"dilute, thin"
розбагатіти,get rich on sth
розбалакати,"divulge, disclose, reveal sth to sb , give away sth"
розбалувании,"spoilt, (AmE)"
розбалувати,spoil
розбандажовувати,to remove a bandage
розбестити,spoil
розбещении,"spoilt, (AmE); depraved, vicious"
розбещеність,depravity
розбещення,abuse
розбещсобі,to indulge oneself
розбещувати,"molest, harass sb"
розбещшатро,"to pitch, to put up, to erect a tent or camp"
розбивати,"break sth , smash sth"
розбиватися,shatter
розбирання,"demolition, dismantling, disassembly"
розбирати,"dismantle, disassemble"
розбиратися,I can't make head (n)or tail of it.
розбити,"pitch camp swh , encamp"
розбитии,"potholed, pot-holed"
розбитися,to crash; to break apart; to shatter
розбиття,breaking
розбігтися,"run in all directions, disperse, scatter"
розбіжнии,divergent; conflicting
розбіжність,discrepancy; divergence
розбіи,split?; to break up; n. (disintegration)
розбіиник,robber
розбір,analysis
розбірливии,"legible, readable"
розблокування,unlocking
розблокувати,unblock
розболітися,start to hurt
розбомбити,bomb out sth
розбомблении,bombed-out
розборонювати,to separate from each other: to part
розбрат,"disagreement, discord"
розбризкувати,to spray; to sprinkle; v.
розбудити,awaken sb
розбудова,development; expansion
розбудовувати,to build up; to develop; v.
розбурхании,agitation (n.)
розбурхати,galvanize sb
розвага,distraction
розважальнии,entertaining; amusing
розважання,"amusement, entertainment"
розважати,entertain sb with sth
розважатися,enjoy osf; Are you enjoying yourself?
розважити,"amuse, entertain sb"
розважитися,go out on the town
розважливии,deliberate
розважливо,"reasonably, sensibly"
розважність,prudence; caution; n.
розвал,break-up
розвалення,collapse
розвалина,ruin(s)
розвалити,break up sth
розвалитися,unravel
розвалюватися,to collapse; to fall apart
розвантаження,unloading
розвантажити,"unload, (AmE)"
розварити,overcook sth
розведення,"breeding, rearing"
розвернути,turn
розвернутися,turn around
розвертати,to unfold; to spread out
розвести,"dilute, thin (down) sth"
розвивальнии,instructive
розвивати,cultivate sth
розвиватися,"develop, evolve"
розвиднитися,dawn
розвилка,fork
розвинении,developed
розвинути,develop
розвинутии,developed
розвинутися,unfold
розвиток,development
розвідка,"intelligence, reconnaissance"
розвідковии,intelligence
розвідник,scout; spy
розвідниця,(female) scout
розвідувальнии,"intelligence, spy"
розвідувати,"pry, pump sb about sth"
розвіинии,shattered; fragmented
розвір,to devour; to eat eagerly; v.
розвішувати,to hang; to suspend; v.
розвіяти,dispel doubts
розвіятися,dissipate
розводити,to breed; to raise; to cultivate; v.
розводитиводою,to dilute with water; to water down; phrase.
розвозити,to deliver; to transport; to distribute; v.
розвора,turnaround; junction; n.
розворот,"(double) spread, double page"
розвʼязання,solution
розвʼязати,untie
розв'язка,junction; connection; n.
розвʼязка,denouement
розвʼязнии,"unrestrained, unbridled | solvable, soluble"
розв'язувати,to solve; to untie; to resolve; v.
розвʼязувати,(try to) solve
розгадати,solve
розгадка,solution
розгадувати,(try to) decipher
розгалуженість,"ramification, bifurcation"
розгалужуватися,to ramify
розгалужувач,"adaptor, adapter"
розгалузитися,"ramify, branch"
розганяти,"to dispel, to scatter to the winds, to disperse;"
розганятся,to get agitated; to flare up; v.
розгарячитися,to become hot; to heat up; to blaze up; v.
розгвинтити,"unscrew sth , screw sth loose"
розгвинтитися,(be)come loose
розгін,dispersal; breaking up (a crowd)
розгіна,unfolding; to stretch out
розгледіти,to discern; to make out
розгляд,consideration; review; examination
розглядати,deal with
розглянути,"deal with sth , settle"
розглянутии,"dealt with, settled, disposed of"
розгнівании,"furious, enraged, infuriated"
розгніватися,get angry with sb
розгнуздании,"unrestrained, unbridled"
розговоритися,start talking
розгоидании,discussions; debates
розгоидати,set sth swinging
розголос,publicity
розголосити,give away sth
розголошувати,spread
розгорітися,flare
розгорнути,expand on sth
розгорнутии,unfolded; expanded; extensive
розгортання,deployment of sth
розграбовувати,"loot, plunder"
розгрівати,"to warm, to heat;"
розгрішення,absolution
розгром,debacle
розгромити,"thrash, destroy, demolish, annihilate sb"
розгублении,"confused, perplexed"
розгубленість,confusion
розгукании,unrestrained; furious
розгул,rampage; spree; riot
розґвинчувати,to unscrew
роздавати,dispense
роздавач,distributor; supplier; allocator
роздавити,"crush, squash sth"
роздавлювати,to crush; to squash; to press hard
роздаровувати,"to give away, to make a present of"
роздати,to distribute; to hand out
роздерти,maul
роздертя,torn-off piece; shreds; rags; dirty strip
роздивитися,to look carefully; to examine closely
роздивлятися,to look about
роздирати,to tear; to rip apart
роздівальня,recloase?  (Note: please confirm)
розділ,section
розділении,divided
розділення,break-up
розділити,to divide; to split
розділитися,bifurcate
роздільнии,"in two parts, two-part"
роздільність,resolution
розділюючии,"dividing, separating"
розділяти,share sth with sb
розділятися,bifurcate
роздіювати,to strip; to peel; to shed
роздмухувати,stir up
роздобувати,to obtain; to procure; to gain
роздобути,"get, obtain sth"
роздоріжжя,"crossroads, fork"
роздратовании,"exasperated, resentful"
роздратованість,irritation
роздратування,tantrum
роздратувати,displease sb
роздріб,"retail, retailing"
роздрібнии,"retail; retailer, retail dealer"
роздробити,"shatter sth , smash sth"
роздробляти,crush sth
роздрук,printout
роздуми,meditation; reflection
роздумувати,ruminate on
роздутии,inflated; swollen
роздьнии,split; tear; rift
роздягальня,"changing room, dressing room, (AmE)"
роздягнении,"stripped, undressed; stripped to the waist"
роздягнути,"undress, strip sb"
роздягнутися,undress osf
роздягтися,undress osf
розетка,"socket, power point, (AmE)"
розʼєднати,break up
розжаляти,to soften; to bend; to mellow
розжарении,"glowing, red-hot"
розжарити,make sth
розживатися,to feed on; to subsist; to keep oneself
розжовувати,to chew; to gnaw
розжувати,chew sth
роззброєннювати,to disarm
роззброєння,disarmament; nuclear disarmament
