ukrainian,definition
крутитися,"turn, rotate, spin, revolve"
крутіи,"(-ія́) ч swindler, cheat;"
крутіиство,"(-а) с juggle, swindling"
крутість,"steepness, abruptness"
круто,drastically
крутони,croutons
крухии,tender; well-cooked;
круча,"cliff, escarpment"
кручении,"winding, tortuous"
крушіти,"(-і́ю, -Ієш) (м'ясо) to"
крюк,hook
крючок,hook
ксенон,xenon
ксенофоб,xenophobe
ксенофобія,xenophobia
ксенофобка,(female) xenophobe
ксерокопія,"Xerox, photocopy"
ксерокс,"Xerox, photocopier, copy machine, copier"
ксилограф,"xylographer, wood engraver"
ксилографія,"woodcut, xylograph"
ксилофон,xylophone
куб,cube
Куба,Cuba
кубик,ice cube
кубинець,Cuban
кубинка,Cuban
кубинськии,Cuban
кубізм,Cubism
кубіст,cubist
кубістичнии,cubist
кубістка,(female) cubist
кубічнии,cubic
кубло,"den, lair"
кубок,cup; World Cup
кубомедуза,"box jellyfish, sea wasp"
кубометр,cubic metre
кувалда,"sledgehammer, maul"
кувати,forge | cuckoo
Кувеит,Kuwait
кувеитськии,Kuwaiti
куди,"where (to), which way; Where are you going?"
куди-небудь,"somewhere, (AmE)"
кудись,"somewhere, (AmE)"
кудкудакати,"cluck, chuckle, cackle"
кудлатии,"shaggy, bushy"
кужіль,(-еля) ч distaff
кузен,cousin
кузина,(female) cousin
кузня,(-і) ж forge; smithy
кузов,"body, bodywork"
кукати,cuckoo
кукіль,corncockle
кукла,(-и) ж doll
кукса,"stub, stump"
кукурікати,crow
кукурудза,(BrE); corn on the cob
кулак,fist; clench one's; keep one's
кулевии,fire-
кулемет,machine gun
куленепробивнии,bullet-proof; bullet-proof glass
кулеша,(-і) ж hominy (Ам.)
кулінарія,"cookery, cooking"
кулінарнии,culinary
куліса,scenery
куліш,(-ешу́) ч з вівся́ної муки porridge
кулон,pendant
кулуари,(BrE)
кульбаба,dandelion
кульбака,(-и) ж saddle
кульгавии,lame
кульгати,"limp, have/walk with a limp, hobble"
кульгаючии,limping
кулька,croquette
кулькопідшипник,ball bearing
кульмінація,flashpoint
кульмінувати,"culminate, escalate"
культ,cult; personality cult
культивар,cultivar
культиватор,weeder
культивація,cultivation
культивування,growing
культивувати,"refine, cultivate"
культовии,"religious building, place/house of worship; cult film"
культура,crop
культуризм,"bodybuilding, body building"
культурист,bodybuilder
культуристка,(female) bodybuilder
культурнии,"cultural, culture; cultivated"
культурність,"cultivation, refinement"
культурно,culturally
куля,sphere
кулястии,"ball-shaped, spherical, globular"
кум,godfather
кума,godmother
кумеднии,"amusing, funny"
кумир,idol
кумівство,clientelism
кумулятивнии,cumulative
кунжут,sesame
куниця,marten
куняти,be nodding
купа,a lot of work
купальнии,bathing
купальник,"swimsuit, bathing suit, (BrE); two-piece swimsuit"
купання,"bath, swimming, bathing; bathing cap, (BrE); sea bathing"
купати,BrE
купатися,bathe
купе,"compartment, (BrE)"
Купидон,Cupid
купина,tussock
купити,"buy, purchase sth; buy oneself sth; buy sth"
купитися,buy
купівля,"purchase, buy of sth; buy and sale, buying and selling"
купіль,bath
купірувати,"dock, crop sth"
купка,knot
куплении,bought
купол,dome
купон,"coupon, voucher; betting slip"
куприк,coccyx
купувати,"shop, do the shopping, buy, purchase"
купуючии,"(of) purchase, purchasing"
купюра,"banknote, note, (AmE)"
кураж,guts
куражитися,"revel, make merry"
куранти,astronomical clock
куратор,"curator, custodian"
кураторка,(female) curator
курва,Fuck!; Shit!; Shite!; Crap!
курд,Kurd
курдка,Kurdish woman
курдськии,Kurdish
курець,smoker; chain-smoker
курʼєр,"messenger, courier"
курилка,smoking room
курильнии,smoking
курильня,smoking room
куриознии,curious
курити,smoke a pipe; smoking ban
куріннии,(-но́го)чвшськ. commander (а. commanding officer) of a battalion; Пласт troop leader
куріння,smoking
курінь,(-реня́) ч hut; військ. oattalion; Пласт troop
куріпка,partridge
курка,hen
куркуль,kulak
куркума,"turmeric, curcuma"
курник,henhouse
курок,cock
курорт,spa; summer resort
курортнии,spa
курс,"language course | keep sb | exchange rate, rate of exchange"
курсант,cadet
курсантка,(female) cadet
курсив,"italics, italic type"
курсор,cursor
курсувати,"(поїзд) to run, to ply; (гроші) to be current a. in circulation"
куртизанка,courtesan
куртина,(-и) ж curtain
куртка,"jacket, (BrE); fleece jacket; leather jacket"
курча,chicken; roast chicken
курятина,chicken meat
курячии,"chicken, poultry; chicken breast"
кусати,sting
кусатися,bite
кусачки,(nail) clippers
кусень,chunk
кусити,"(-шу́, -ку́сиш) to tempt"
кускус,couscous
куснути,bite sb
кусок,"piece, bit, lump of sth"
кусочки,"to cut in (to) shreds,"
кустарнии,home-made
кут,angle
кутастии,angular
кутовии,corner
куток,corner sb
кутомір,protractor
куточок,nook
кутюрʼє,fashion designer
кухар,cook
кухарка,(woman) cook
кухарськии,culinary
кухня,I like exotic cuisine
кухоль,"cup, mug"
кухоннии,kitchen; sink
кухонька,kitchenette
кучер,"coachman | curl, ringlet"
кучерявии,curly
кушетка,"day bed, divan"
кущ,"bush, shrub"
кущоріз,"brush cutter, hedge trimmer"
кювет,ditch
кюретаж,curettage
л,"ла́гідн ий gentle, mild, calm, placid; (вда́ча) sweet, goodnatured"
лаба,"(ла́па) (-и) ж paw, claw"
лабети,clutches
лабільнии,unstable
лабільність,instability
лабіринт,"labyrinth, maze"
лаборант,laboratory technician
лаборантка,(female) laboratory technician
лабораторія,lab
лабораторнии,laboratory
лабрадор,labrador (retriever)
лава,"lava | join the ranks of sb; (players') bench, substitute's bench"
лаванда,lavender
лаваш,flat/griddle bread
лавина,avalanche
лавка,bench
лавр,laurel (tree); laurels
лавра,"lavra, laura, monastery"
лаврак,European sea bass
лаврове,ЛИСТЯ bay-leaves
лагер,BrE
лагерство,"(-a) c furrier's trade кущ (-а́) ч bush, shrub"
лагіднии,gentle
лагідно,gently
лагуна,lagoon
лад,put sth in order
ладан,incense
ладити,get on
ладнати,"get on (well), get along with sb"
ладувати,"to load, to lade, (як"
лаз,manhole
лазанка,"climbing frame, (AmE)"
лазанья,lasagne
лазер,laser
лазити,"to creep, to crawl; to"
лазівка,loophole
лазіння,"climbing, rock climbing"
лазничка,(-ки) ж bathroom
лазня,"(-ні) ж baths мн, bathing-establishment"
лазур,azure
лазуровии,azure
лазячии,climbing
лаидак,rascal
лаика,"curse, cuss"
лаикнути,like
лаикра,Lycra
лаиливець,foul mouth
лаиливии,"dirty word, swear word"
лаим,lime
лаинер,cruise ship
лаино,"crap, shit"
лаиновии,crappy
лаинсмен,linesman
лаистаршии,oldest; eldest;
лаифхак,lifehack
лак,"varnish, lacquer; hair lacquer, (AmE); nail polish, (BrE)"
лакеи,"footman, valet"
лакмус,litmus
лакомии,(на со́лодощі) fond
лакомитися,to have a strong
лаконічнии,pithy
лактація,lactation
лактоза,"lactose, milk sugar"
лакувальник,"painter, varnisher, sprayer"
лама,llama | lama
ламантин,manatee
ламати,rack one's
ламатися,break
ламель,plate
ламінат,laminate
ламінувати,laminate
ламкии,"fragile, brittle, breakable"
ламкість,"fragility, brittleness"
лампа,"lamp; halogen lamp; (vacuum) valve, (AmE); energy saving bulb, energy saving lamp; (BrE)"
лампіон,Chinese lantern
лампочка,(light) bulb; blown bulb
ламучии,brittle
лан,(large) field
лангуст,(spiny) lobster
ландшафт,landscape
ланка,link; (connecting) link
ланолін,"lanolin, wool fat, wool grease"
ланц,"(-ца́) ч, ~юг (-а́) ч chain"
ланцюг,"chain; snow chains, (AmE)"
ланцюжок,chain
ланч-бокс,lunch box
лань,"(deer) doe, fallow deer, hind"
ланя,(-ні) ж зоол. hind
Лаос,Laos
лаоськии,Laotian
лапа,paw; Give a paw!
лапароскопія,laparoscopy
лапка,paw; frog legs
лапки,"quotation marks, inverted commas; in quotation marks"
ларингіт,laryngitis
ласка,My pleasure
ласкавии,"kind, benign, charitable, loving, affectionate, fond"
ласкавість,favour
ласкаво,kindly
ласо,lasso
ласощі,"confectionery, (BrE); delicacy, dainty, titbit"
ласт,flippers
ластатии,freckled
ластик,eraser
ластитися,"caress, fondle sb"
ластівка,swallow; martin
ластовиння,freckle
ластоногии,"pinniped, pinnipedian"
ласувати,eat sweets
латати,darn
латаття,"water lily, pond lily"
латвієць,Latvian
латвіика,Latvian
латвіиськии,Latvian
Латвія,Latvia
латекс,latex
латентнии,latent
латимерія,latimeria
латина,Latin
латиниця,"Roman alphabet, Latin alphabet"
латиноамериканськии,Latin American
латинськии,Latin
латиськии,"Latvian; Latvian, Lettish"
латка,patch
латунь,brass
лауреат,laureate
лауреатка,(female) laureate
лафет,gun carriage
лацкан,lapel
лаштунки,backstage (area); backstage
лаяти,"scold sb , tell sb off"
лаятися,cuss
лгіса,(-си) ж hurdle;* wicker-work
лебідка,"winch, windlass"
лебідь,swan
лев,lion
лева,(-и) ж (карти) trick; зробити ~у to make a trick
левада,(-ди) тс fertile plain; meadow
левиця,lioness
левітація,levitation
левітувати,levitate
левкои,"stock, gillyflower"
легалізація,legalization of sth
легалізувати,"legalize, (BrE)"
легальнии,legal
легальність,legality
легально,legally
легенда,"legend, myth"
легендарнии,legendary
легеневии,"pulmonary, lung"
легеня,lung; lungs
легінси,leggings
легіон,legion
легіонер,legionary
легітимнии,legitimate
легітимність,legitimacy
легкии,easy
легкииим,тру́дом with little trouble; ... ле́гко мбжна зрозуміти... is easy to understand;
легкість,"ease, effortlessness"
легко,"easily, with ease; lightly, mildly"
легкоатлет,(BrE)
легковажити,"take chances, take risks, gamble"
легковажнии,"reckless, careless"
легковажно,"carelessly, with (gay) abandon"
легковик,passenger car
легковірнии,"gullible, credulous"
легковірнииість,(-ности) ж credulity
легкодоступнии,easily accessible
легкодух,"( a) ч gay (а. giddy, reckless, щ. non-carish) fellow"
легкодухшнии,lightminded; (безжу́рний) careless; reckless; easygoing
легкодухшність,"(-ности) ж levity, recklessness; carelessness [flkmmable"
легкозаимистии,combustible
легкозасвоювании,"easily digestible, easy to digest"
легкостравнии,easy («.light) of digestion | couch
леговании,alloyed
леговище,"(-a) c resting-place,"
леґальнии,legal
леґенда,(-и) ж legend
ледар,slacker
ледарювати,"idle, loaf (around), laze (about)"
ледащо,"lazybones, idler"
ледве,hardly
леді,"lady, madam"
ледь,hardly; nearly
лежак,deckchair
лежати,"lie, reside in sth"
лежачи,(when) lying down
лежма,horizontally
лезо,blade
леиборист,labourist
леикемія,"leukaemia, (AmE)"
леикопластир,"adhesive plaster, (sticking) plaster, (BrE)"
леикоцит,"leucocyte, (AmE)"
леитенант,lieutenant; first lieutenant; second lieutenant
леитенантка,(female) lieutenant
леіалізувати,"to legalize; to attest, to certify"
лекало,French curve
лексема,lexeme
лексика,vocabulary
лексикографія,lexicography
лексикологія,lexicology
лексикон,lexicon
лексичнии,lexical
лектор,"(foreign) language assistant, (BrE)"
лекторка,"lectrice, (female) lecturer"
лекція,"lesson, lecture; lecture"
лелека,stork
лемент,wail
лемінг,lemming
лемур,lemur
лен,fief
леопард,"leopard, panther"
леп,(-ну) ч на птахи bird-lime;
лепеха,calamus
лепра,leprosy
лепськии,"able, fit; excellent"
лептоп,laptop
леребувати,"(десь) to в1ау,щ."
леревага,(-ги) ж superiority;
леремагати,(перепо́ни) to
лересгавати,"to cease, to stop, to end, to finish, to pause"
лересгаватпрацювати,to knock off work;
лереслухувати,"to interrogate, to hear; (в суді) to (cross) examine (on a th), to try"
лереставка,(-ки) ж redistribution; transposition
лереставляти,"to transpose, to shift; to build anew, to rebuild, to reconstruct; to make alterations in"
лерестерігати,"to warn (переш - of, against)"
лересторога,"( ги) ж warning, admonition"
лерестрах,"( xy) ч dismay, horror"
лерешивати,"to sew (а. stitch) Персія anew а. afresh иерешко́д а(-ди)ж hindrance, impediment; encumbrance; disturbance, trouble; (пере́рва) interruption; радго jamming; бу́ти на ~i to be in a p.'s way а. light перешко́джувати, нерешкбдити topiohibit(ap.from doing); (ооби́ти неможли́вим) to prevent (y-from)"
лерешиватькии,"Persian ІІе́рсія (-ії) ж Persia, Iran"
лесбіиськии,lesbian
лесбіянка,dyke
лестивии,servile
лестити,You flatter me.
лестощі,flattery
летаргічнии,lethargic
летаргія,lethargy
летіти,fly
летіЬчии,flying
летіЬчка,(-ки) ж pamphlet
леткии,volatile
летовище,(-ща) с aerodrome <
летун,"(-на) ч flyer, airman, ! aviator; (фахіве́ць) pilot"
летючии,flying
лечо,pepper stew
лещата,"vice, (AmE)"
лещетар,(-ря́) ч skier
лещети,(тів) мн ski; їхати на леще́тах to ski; >- на́рти
лжесвідок,perjurer
лжесвідчення,"false testimony, perjury"
лзґар,(-я) ч beam
ливар,"(-я́ї ч, ~ник ( а) ч founder, moulder, foundryman"
ливарник,founder
ливарня,foundry
ливень,(-вня) ч shower of rain;
лижа,ski; cross-country skis; water ski; downhill skis; skiing
лижва,(-ви) ж skate; їхати на ~ах to skate; ^ а ́ р (-я́) ч skater
лижнии,ski(ing)
лижник,skier
лижниця,(female) skier
лизати,lick
лизнути,have a lick of sth
лик,"(-у) ч draught, gulp"
ликати,"(лига́ти) to gulp, to"
лико,bast
лилик,(-ка) ч bat
лимар,"(-ря) ч saddler, harness-maker"
лимон,lemon (tree)
лимонад,pop
лимоннии,lemon; citric acid; lemon (tree)
лин,tench
линва,"(-и) ж rope, cable; line, cord; trace ~ оско́к (-ка) і ч rope-dancer"
линкии,"sticky, adhesive, glutinous, viscous | a. cleave) to"
линяння,"moulting, (AmE)"
линяти,run
липа,"lime, linden (tree)"
липень,July; in July
липкии,"sticky, gummy"
липнути,to stick (а. adhere
липовии,"false, fake, bogus, counterfeit"
липучка,flypaper
лис,male fox
лисии,"bald; baldy, baldhead"
лисина,white spot
лисиця,fox
лисіти,"be balding, go bald"
лискучии,sleek
лисство,(-ва) с usury
лист,"baking sheet, (BrE)"
листівка,Christmas card
листовіика,codling moth
листок,"payslip, pay slip"
листоноша,"postman, (AmE); postwoman, (AmE)"
листопад,November
листочок,petal
листуватися,correspond with sb
листя,"leaves, foliage"
листянии,"broad-leaved, deciduous"
лисуха,coot
лисячии,foxy
литавра,kettledrum
Литва,Lithuania
лити,It's pouring down
литися,"flow, stream"
литка,calf
литовець,Lithuanian
литовка,Lithuanian
литовськии,Lithuanian
лихвар,loan shark
лихварство,usury; practice usury
лихварськии,usurious; usurious interest
лихии,"bad, evil; plot, conspire, intrigue, scheme"
лихість,"badness, wickedness"
лихо,"trouble, fix"
лихоманити,give sb the shivers
лихоманка,fever; yellow fever; dengue (fever)
лихоманковии,feverish
лицар,knight
лице,face
лицевии,cheek
лицемір,hypocrite
лицемірнии,hypocritical
лицемірство,hypocrisy
лицьовии,"facial, (of the) face, cheek"
лиця,to suit a. fit a p.
личинка,"larva, maggot"
личити,suit sb
личпіии,"personal; ~ o прс personally, individually; явитися"
личпіиио,to appear in person
лишаи,lichen
лишаиник,lichen
лишати,"to leave a p., a th.;"
лише,"only, just, merely, exclusively, solely; only; as late as, not until, only; but, only (that)"
ліана,"liana, liane"
ліберал,liberal
лібералізація,"liberalization, (BrE)"
лібералізм,liberalism
лібералізувати,"liberalize, (BrE)"
лібералка,(female) liberal
ліберальнии,liberal
ліберіиськии,Liberian
Ліберія,Liberia
лібідо,libido
лібретист,librettist
лібретистка,(female) librettist
лібрето,libretto
Ліван,Lebanon
ліванськии,Lebanese
лівер,wine thief
лівии,"left, left-hand | lefty, leftie"
лівієць,Libyan
лівіика,Libyan
лівіиськии,Libyan
Лівія,Libya
ліворукии,left-handed
ліворуч,(to the) left
ліврея,livery
лівша,left-hander
ліга,league
лігво,"den, lair"
лігніт,"lignite, brown coal"
ліґніт,(-у) ч lignite
лід,ice; crushed ice; ice cube
лідер,leader
лідерка,(female) leader
лідерство,lead; take the lead
лідирувати,lead
лідируючии,leading
ліжечко,"cot, crib"
ліжко,"bed, berth; twin beds; bunk beds; double bed; extra bed; bedridden, bedbound; single bed"
лізинг,leasing
лізти,climb
ліи,tallow
ліика,funnel
лік,"(-ку) ч medicine, physic; remedy; обр. counsel, advice;"
лікар,"doctor, (AmE); (senior) consultant; paediatrician, (AmE); (BrE); general practitioner, GP; go to see a doctor"
лікарка,(woman) doctor
лікарня,hospital
лікарнянии,hospital; sick leave
лікарське,~ medical certification
лікарськии,medical; medicinal herb/plant
лікарювання,natural healing
лікарювати,"to practice (medicine), to follow the medical"
лікаря,to send for the doctor;
ліквідатор,liquidator
ліквідація,"elimination, disposal of sth"
ліквідіація,(-ції) ж liquidation
ліквіднии,liquid
ліквідність,liquidity
ліквідувати,"eliminate, liquidate sth; eliminate"
лікер,"liqueur, cordial; eggnog"
ліки,"medicine, drug, cure, remedy for sth; be on medication; painkiller"
лікоть,elbow
лікувальнии,medicinal herb/plant
лікуванець,(-нця) ч patient;
лікування,"treatment, healing; medical expenses; alcohol addiction treatment; (at-)home convalescence"
лікувати,treat sb
лікуватися,"undergo treatment, be treated"
лілея,(-еї) ж lily
лілінут,(-а) ч Liliputian
ліліпут,dwarf
ліліпутськии,dwarf
лілія,lily
ліловии,lilac
ліміт,overdraft
лімітувати,limit
лімітуючии,limitative
лімонада,(-ди) ж limonade
лімузин,limo
лімузина,(-ни) ж limousine
лімфа,lymph
лімфатичнии,lymphatic
лімфоцит,lymphocyte
лінгвіст,linguist
лінгвістика,linguistics
лінгвістичнии,linguistic
лінгвістка,(female) linguist
лінза,contact lenses
лінивець,sloth
лінивии,"work-shy, idle"
лінивість,"(-вости) ж idleness,"
лінитися',to lose (а. shed)
лініика,ruler; lined
лініинии,linear
лініиність,lineation
лініиовании,ruled ; ~ ruled paper;
лініювати,to rule
лінія,line
лінк,link
лінкор,battleship
лінолеи,(-е́ю) ч (ліно́ль) linoleum
лінолеум,"linoleum, (BrE)"
лінотип,( а) ч linotype
лінуватися,"to idle, to lounge"
лінчування,"lynch law, lynching"
лінчувати,lynch
лінь,sloth
лінюх,( ха́) ч lazybone; idler;
лінюхувати,to idle
ліпити,model
ліпід,"lipid, lipide"
ліплянка,(-ки) ж mud (а. clay) cottage
ліпнина,stucco
ліпосакція,liposuction
ліра,"lira, lyre"
ліризм,lyricism
лірик,lyricist
лірика,lyric poetry
ліричнии,"lyric, lyrical"
ліс,"wood, forest; in the forest; broad-leaved forest; coniferous forest; primary/old growth forest, primeval forest"
Лісабон,Lisbon
лісистии,"wooded, woody"
ліснии,"forest, wood"
лісник,"gamekeeper, forester"
лісництво,forestry
лісничии,"ranger, forester"
лісничииівка,(-ки) ж forester's house
лісовии,"forest, wood; forest fruits, wild berries"
лісозаготівля,logging
лісок,"grove, bosk"
лісоматеріал,"timber, (AmE)"
лісопилка,sawmill
лісоруб,lumberjack
лісостеп,forest-steppe
лість,"( ОСТИ: ж gentleness (а. mildness а. sweetness) of character; meekness ла́годити to prepare, to get ready; to quiet, to pacify лад (-ду́) ч order, trim, вивести з ~y to derange, to disarrange; to disturb; приве́ла́дан"
літ,(льо́ту) ч flight
літак,"plane, (BrE)"
літаком,by air
літаконос,(-са) ч aircraft (а. plane) carrier
літальнии,flying; aircraft
літання,flying; ballooning
літати,fly
літачок,paper airplane
літаючии,flying
літеплии,"tepid, lukewarm"
літера,"letter; capitals, capital letters"
літератор,man of letters
література,literature
літературнии,literary; standard
літературно,in standard language
літіи,lithium
літник,(-ка) ч щ. visitor of а summer resort [sort
літнище,"(-ща) с summer гелітній summer-like, summer|1]У"
літніи,midsummer; summer sports
літо,"summer, summertime; Indian summer"
літографія,lithograph
літом,in summer
літоп,ис(-су)чchronicle
літописець,chronicler
літописи,annals
літосфера,lithosphere
літочислення,year
літр,"litre, (AmE)"
літун,"job-hopper, drifter"
літургічнии,liturgical
літургія,liturgy
ліфт,(BrE)
ліфтинг,lifting
ліфчик,brassiere
ліхтар,"(BrE); streetlamp, streetlight; rear lights, tail-lights, tail lamps"
ліхтарик,BrE
Ліхтенштеин,Liechtenstein
ліхтенштеинець,Liechtensteiner
ліхтенштеинка,Liechtensteiner
ліхтенштеинськии,Liechtensteiner
ліцеи,lycée
ліцензія,"licence, (AmE)"
ліцензування,licensing
ліцензувати,"license sth , grant a licence for sth"
ліцитація,"auctioning, bargaining"
ліцитува,́ти to sell by
лічба,count(ing)
лічильник,"meter, counter; gas meter"
ліщина,hazel
лланета,(-ти) ж planet
лласкии,"flat; plain, level; мат. plane"
лласт,"(-ту) ч layer, bed; геолог. stratum; (ска́втінґ) Scouting"
лластати,"to creep along; to sneak up to, to steal near"
лластичнии,plastic
лластичнииість,( ности) ж plasticity
лластунх,( на́) ч scout; (юна́к) Boy Scout
ллянии,linen
лоб,"forehead, brow"
лобі,lobby
лобіст,lobbyist
лобіювати,lobby sb for sth
лобковии,pubic hair
лобовии,head-on; head-on collision
лобода,"orache, saltbush"
ловецтво,"(-ва) с hunting; chase, huntsmanship"
лови,"(-вів) мн hawk (на-at),"
ловити,fish
ловки,brad; прибива́ти ~ами
ловкии,"pretty; nice-looking,"
ловля,"hunt(ing); fishery, fishing ground; fishing"
ловна,~ head-quarters мн
ловчиня,huntress
логаритм,(-му) ч logarithm;
логаритми,(-мів) мн (часто скорочено) logs
логарифм,logarithm
логарифмічнии,logarithmic
логік,"( ка) ч logician, ~іка (-ки) ж logic; ~1чний logical"
логіка,logic
логін,login
логіршати,(гі́ршати) to get а. grow worse
логістика,logistics
логістичнии,logistic
логічнии,logical
логічно,logically
логладити,"to stroke, to caress"
логода,(-ди) ж weather; (него́да) bad а. stormy weather; га́рна ~a fine weather; стан
логоди,"weather, atmospheric-conditions мн; ста́ла ~a (баро́мегр) set fair; (ду́ха) cheerfulness, cheeriness"
логопед,speech therapist
логопедичнии,"logopaedic, (AmE)"
логопедія,speech therapy
логотип,logo
лоджія,enclosed balcony
лодка,"(-ки) ж boat, skiff"
ЛОЖ,"(-ЖІ) ж lie, falsehood"
ложа,"loge, box"
ложе,bed
ложка,"tablespoon, tbsp; teaspoon"
лоздоровляти,"(поздоровити) to greet, to salute; (головно військо); to send love; каза́ти кого́сь ~ to send one's compliments а. regards (to a p.); про́шу ~ від ме́не remember me to...; обр. to welcome"
лоземниця,"( ці) ж (water-) level, libella"
лозивання,c суд. prosecution
лозивач,"(-ача́) ч, ~чка (-ки) ж plaintiff, complainant"
лозика,"(-ки) ж lending; advance; (від кого́) loan; держа́вна ~ public (а. government) loan; воєнна ~ war-loan; да́ти ~у to grant а p. a loan, to advance (а. lend) a p. a loan, to make an advance (а. to lend money) to a p."
лозина,"rod, bar"
лозиція,(-ії) ж position; (в званні) situation
лозиціяіинавіина,́ trench (а. stabilized) warfare
лозича,"́ти (кому́сь) to lend, ~ ~ гро́ші to loan, від кого́сь; to borrow money of (а. to get accommodation from) a p."
лозунг,slogan
лоиова,~ tallow-candle; парафінова ~ paraffin-candle;
ло-и'яному,npc while intoxicated; in one's cups
локалізація,"localization, (BrE)"
локалізовании,"localized, (BrE)"
локалізувати,localize sth; confine sth
локальнии,local
локально,locally
локаут,lockout
локація,location
локдаун,lockdown
локомотив,locomotive
локон,"curl, ringlet"
локриця,"liquorice, (AmE)"
локшина,"noodles, pasta ribbons"
лом,"crowbar, pry bar, wrecking bar, (AmE)"
ломбард,"pawnshop, pawn shop"
ломикамінь,"saxifrage, breakstone"
ломка,"withdrawal, cold turkey"
Лондон,London
лондонець,Londoner
лоно,womb
лопата,"shovel, spade"
лопатевии,"lobate, lobed"
лопати,"break, snap"
лопатка,trowel
лопнути,"break, snap, burst, rupture"
лопнутии,burst
лопотіти,(на вітрі) to stream
лопуляризувати,to popularize [rite
лопулярнии,"popular, favouнонуска́ти (віжки́) to give in"
лопутник,(-а) ч fellow-traveller
лопух,burdock; simpleton
лора,(-ри) ж анат. pore
лорада,"(-ди) ж advice, counsel; consultation"
лораза,(-зи) ж (пора́ження) мед. со́няшна ~ sunstroke
лоразка,(-ки) ж defeat; понести́ важку пора́зку to sustain (а. suffer) a crushing defeat
лоранити,to wound
лоранитистии,"passionate, irritable поривний rapturous, enchanting, charming поривчастий passionate,hot-tempered, irascible порина́ти to dive, to duck, to dip, to plunge по́рист ий porous: pervious"
лорд,lord
лордоз,lordosis
лорногріаф,( а) ч pornographer
лорногріафафічнии,pornographic
лосини,leggings
лоскітливии,ticklish
лоскотання,tickle; I am ticklish.
лоскотати,That tickles.
лосось,salmon
лостанова,"(-ви) ж decision,"
лось,"elk, (AmE)"
лосьион,"lotion, body lotion; aftershave, aftershave lotion"
лотерея,lottery; win the lottery
лото,lotto
лоток,egg tray
лотос,lotus
лоцман,(ship) pilot
лоша,"foal, colt"
лояльнии,loyal
лояльність,loyalty to sb
лринис,(-су) ч prescription;
лриписування,c imputation
лротирати,"to rub through,"
лротиторнедник,(-а) ч torpedo boat destroyer
лроходити,"to pass (through); (час) to pass (away), to glide by, to slip (away), to elapse"
лрохожии,"(-ого) ч passer-by,"
лрохожииі,(-их) мн the passers by мн
лсота,"(-ти) ж mischievous prank, щ. larking: nuisance"
лтаіпа,"(-ти) с, ~еня́ ( я́ти) с, пта́шечка (-ки) ж birdie, little bird"
луб,bast
лубрикант,lubricant
луг,"meadow | alkali, base, lye"
лужнии,"basic, alkaline; alkaline batteries"
лук,shoot a bow
лука,meadow
лукавии,"sly, cunning, roguish, wicked"
лукавість,"cunning, slyness, craftiness"
лукавство,subterfuge
лукуватии,arched
луна,echo
луна-парк,fairground
лунати,"resound, reverberate"
лунатизм,somnambulism
лунатик,"sleepwalker, somnambulist"
лунка,golf
лунь,harrier
лупа,magnifying glass | dandruff; (anti-)dandruff shampoo; anti-dandruff
лупати,to split; to cleave; дро́ва to chop
лупина,"(-ни) ж (овочів) shell, skin, peel; (яєць, горіхів) shell"
лупити,gorge
лупівка,( ки) ж flaying-house
лупцювати,batter sb
луска,scales
лускати,crack
лускіт,(-коту) ч rumbling noise
луснути,to burst; (одяг) to split; (шкіра) to chap; to crack; (скло) to fly
луснутии,burst
луч,"(-ча́) ч ray, beam; radius"
лучити,"to bind (up), to join (together): обр. to wed (з-to)"
лучник,"archer, bowman"
лучництво,(-ва) с (стріляння з лу́ка) archery
лушпа,"(-пи) ж (лушпа́йка, лушпина) hull, husk (збі́жжя); shell; (стручка́) pod, cod; (о́вочу) peel; горіхова nutshell (рее́І"
лушпиння,husk
лущити,"to shell; (ячмінь) to peel; to hull, to husk; (горіхи) to crack (open)"
Львів,Lviv
льнянии,linen
льоґ,( ґа) ч (офіційний щоде́яник корабля́) log-book
льодівня,(-ні) ж ice-cellar а. ~-house а. ~ -pit; (шафа) refrigator
льодовии,ice
льодовик,"glacier, iceberg"
льодовиковии,"Ice Age, glacial period"
льодоруб,ice axe
льодянии,icy
льодяник,cough drops
льожа,(-жі) ж box
льозунґ,"(-ґу) ч (клич) password, parole, watch-word"
льокалізм,(-у) ч localism;
льокалізмізувати,to localize
льокаль,"(-лю) ч business premises; мн (крамниця) shopoffice м ; (-лю) ч place, room, hall, apartment"
льоката,(-ти) ж investment
льокатор,(-ра) ч tenant; (умебльо́ваної кімна́ти) roomer
льокомобіль,(-ля) ч traction-engine
льокомотива,(-ви) ж locomotive (engine)
льокувати,(на °/0 %) to put out... (at.4 per cent)
льомбард,(-у) ч pawn-shop
льон,"flax, linen"
льонт,(-ту) ч slow-match
льора,"(-ри) ж lorry, truck"
льорнет,"(-а) ч і ~ а (-ти) ж opera- glass(es мн), binocular; field-glass"
льотерія,"(-ії) otc lottery; ста́вити на ~ію to put in(to) the lottery, to take a lottery ticket"
льотчик,"pilot, flyer, flier"
льотчиця,aviatrix
льох,cellar
льоха,(-хи) ж sow
льояльнии,loyal
льояльнииість,(-ности) ж loyalty
люба,"honey, sweetheart"
любенькии,lovely
любии,"beloved, darling, loved"
любииимець,(-мця) ч favourite; minion
любииитель,(-теля) ч amateur
